"gem_rank","proof_bucket","name","location","primary_cuisine","rest_type","rate","votes","cost_for_two","value_index","beats_pct_of_platform","online_order","book_table","gem_tier"
"1",1,"Vidyarthi Bhavan","Basavanagudi","South Indian","Quick Bites","4.4","4460","150","2.93","94.2","0","0","Excellent"
"2",1,"CTR","Malleshwaram","South Indian","Quick Bites","4.8","4421","150","3.20","99.7","1","0","Exceptional"
"3",1,"Kota Kachori","Koramangala 6th Block","Street Food","Quick Bites","4.3","3624","400","1.08","90.2","1","0","Excellent"
"4",1,"Mavalli Tiffin Room (MTR)","Basavanagudi","South Indian","Quick Bites","4.5","2896","250","1.80","97.0","0","0","Exceptional"
"5",1,"Brahmin's Coffee Bar","Basavanagudi","South Indian","Quick Bites","4.8","2679","100","4.80","99.7","0","0","Exceptional"
"6",1,"Veena Stores","Malleshwaram","South Indian","Quick Bites","4.5","2416","150","3.00","97.0","1","0","Exceptional"
"7",1,"Corner House Ice Cream","Indiranagar","Ice Cream","Dessert Parlor","4.7","2174","400","1.18","99.3","1","0","Exceptional"
"8",1,"Milano Ice Cream","Indiranagar","Ice Cream","Dessert Parlor","4.9","2090","400","1.23","99.9","0","0","Exceptional"
"9",1,"Art of Delight","Residency Road","Ice Cream","Dessert Parlor","4.4","1916","400","1.10","94.2","0","0","Excellent"
"10",1,"Berry'd Alive","Koramangala 5th Block","Desserts","Dessert Parlor","4.3","1904","400","1.08","90.2","1","0","Excellent"
"11",1,"Mavalli Tiffin Room (MTR)","Indiranagar","South Indian","Quick Bites","4.3","1878","300","1.43","90.2","0","0","Excellent"
"12",1,"Hari Super Sandwich","Jayanagar","Fast Food","Quick Bites","4.4","1833","200","2.20","94.2","0","0","Excellent"
"13",1,"BelgYum","Whitefield","Desserts","Dessert Parlor","4.6","1822","400","1.15","98.6","1","0","Exceptional"
"14",1,"Maiyas","Jayanagar","North Indian","Quick Bites","4","1785","200","2.00","70.2","1","0","Very Good"
"15",1,"Belgian Waffle Factory","Brigade Road","Desserts","Dessert Parlor","4.9","1750","400","1.23","99.9","1","0","Exceptional"
