"location","dominant_cuisine","dominant_cuisine_count","total_restaurants","cuisine_share_pct","cuisine_avg_rating"
"BTM","North Indian","1480","5056","29.3","3.45"
"HSR","North Indian","631","2494","25.3","3.62"
"Koramangala 5th Block","Cafe","400","2479","16.1","4.15"
"JP Nagar","North Indian","510","2218","23.0","3.61"
"Whitefield","North Indian","663","2105","31.5","3.51"
"Indiranagar","North Indian","367","2026","18.1","3.69"
"Jayanagar","North Indian","372","1916","19.4","3.78"
"Marathahalli","North Indian","649","1805","36.0","3.51"
"Bannerghatta Road","North Indian","408","1609","25.4","3.47"
"Bellandur","North Indian","461","1268","36.4","3.46"
"Electronic City","North Indian","378","1246","30.3","3.45"
"Koramangala 1st Block","North Indian","467","1236","37.8","3.64"
"Brigade Road","North Indian","128","1210","10.6","3.44"
"Koramangala 7th Block","North Indian","264","1174","22.5","3.84"
"Koramangala 6th Block","North Indian","199","1127","17.7","3.70"
"Sarjapur Road","North Indian","258","1047","24.6","3.53"
"Koramangala 4th Block","North Indian","166","1017","16.3","3.69"
"Ulsoor","North Indian","206","1011","20.4","3.58"
"Banashankari","South Indian","187","902","20.7","3.67"
"MG Road","North Indian","195","893","21.8","3.51"
