"quality_rank","popularity_rank","primary_cuisine","total_count","avg_rating","vs_platform_avg","avg_cost","avg_votes","quality_score_pct","online_order_pct","performance_index","performance_tier"
"1","38","Modern Indian","111","4.31","0.61","1527","1048","100.0","27.0","13.03","Star Performer"
"2","28","European","245","4.26","0.56","1778","1527","98.7","40.4","13.57","Star Performer"
"3","40","Mediterranean","107","4.20","0.50","1304","1221","100.0","37.4","12.95","Star Performer"
"4","37","Japanese","117","4.19","0.49","1893","879","98.2","49.6","12.33","Star Performer"
"5","20","American","532","4.16","0.46","1194","1580","95.7","59.2","13.31","Star Performer"
"6","23","Asian","407","4.15","0.45","1254","836","88.6","62.9","12.12","Star Performer"
"7","35","Thai","131","4.04","0.34","1448","653","86.7","70.2","11.36","Star Performer"
"7","46","Goan","77","4.04","0.34","977","429","84.4","72.7","10.63","Star Performer"
"9","48","Lebanese","70","4.02","0.32","724","231","90.8","57.1","9.51","Star Performer"
"10","36","BBQ","120","4.00","0.30","863","407","89.8","62.5","10.45","Star Performer"
"11","9","Continental","1803","3.97","0.27","1119","883","90.7","46.3","11.71","Star Performer"
"12","38","Rajasthani","111","3.96","0.26","732","714","94.5","82.9","11.30","Star Performer"
"13","17","Italian","665","3.93","0.23","1029","664","90.1","66.9","11.10","Star Performer"
"14","16","Finger Food","691","3.88","0.18","1445","563","91.3","23.4","10.69","Above Average"
"14","8","Desserts","2124","3.88","0.18","382","143","88.0","65.4","8.37","Above Average"
